"date","tweet","client","year","hour","time","month"
"Oct 10 2018 12:39:59 PM","RT @USATODAY: .@usatodayopinion: Democrats want to outlaw private health care plans, taking away freedom to choose plans while letting anyo…","[Twitter for iPhone]",2018,12,"PM","10"
"Oct 10 2018 11:52:17 AM","RT @FLGuard: #HurricaneMichael is here, but so are we. Stay safe, Florida. #FloridaFirst #FLNGAlwaysThere https://t.co/e2rVNXFERp","[Twitter for iPhone]",2018,11,"AM","10"
"Oct 10 2018 11:43:12 AM","RT @EricTrump: All my friends in Missouri, today is your LAST CHANCE to register to vote this November! It is very easy to do - simply go t…","[Twitter for iPhone]",2018,11,"AM","10"
"Oct 10 2018 07:50:56 AM","RT @NHC_Surge: A destructive and life-threatening storm surge event will occur along portions of the Florida Panhandle, Big Bend, and Natur…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:50:06 AM","RT @FAANews: Due to #HurricaneMichael, flights in your area could be delayed and possibly cancelled. Please continue to check the status of…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:49:08 AM","RT @FLSERT: Hurricane shelter locations are accessible from: https://t.co/Hop887IoiC #HurricaneMichael https://t.co/Ljk8boFaSw","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:48:59 AM","RT @NHC_Atlantic: Hurricane #Michael. In addition to the life-threatening storm surge and wind impacts, heavy rainfall is expected across…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:48:41 AM","RT @NHC_Atlantic: Hurricane force winds are expected to extend well inland over portions of the Florida Panhandle and portions of southeast…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:48:26 AM","RT @NHC_Atlantic: A Storm Surge Warning remains in effect for much of the Florida Panhandle and Big Bend region, where life-threatening sto…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:48:11 AM","RT @NHC_Atlantic: NHC Director Ken Graham will provide a Facebook Live broadcast regarding Category 4 Hurricane #Michael at 8:45 a.m. EDT (…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 10 2018 07:47:57 AM","RT @fema: As Hurricane #Michael nears land, take shelter & stay safe. 📱Follow weather updates on your phone or radio. 🔹 In a tornado WARN…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 9 2018 09:28:10 PM","RT @FLGovScott: If you’re in an evacuation zone, I am urging you to leave RIGHT NOW. Do not risk your life or the lives of your loved ones-…","[Twitter for iPhone]",2018,9,"AM","10"
"Oct 9 2018 05:18:13 PM","RT @fema: Flooding from Hurricane #Michael will affect several states. Finish preparations ASAP and get ready to shelter in a safe location…","[Twitter for iPhone]",2018,5,"AM","10"
"Oct 9 2018 04:59:52 PM","RT @FLOTUS: Thank you Egypt 🇪🇬 🇺🇸 https://t.co/7i0POn29XN","[Twitter for iPhone]",2018,4,"AM","10"
"Oct 9 2018 04:59:51 PM","RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/5FXP7Ki3Zw","[Twitter for iPhone]",2018,4,"AM","10"
"Oct 9 2018 04:34:50 PM","RT @Scavino45: Congratulations to our 114th Supreme Court Justice, Brett M. Kavanaugh! #SCOTUS🏛🇺🇸 🔟📸https://t.co/c3YdNNcU7c https://t.co/A…","[Twitter for iPhone]",2018,4,"AM","10"
"Oct 9 2018 08:23:21 AM","RT @realDonaldTrump: https://t.co/4ySIkmfllE","[Twitter for iPhone]",2018,8,"AM","10"
"Oct 9 2018 07:19:53 AM","RT @NWSTallahassee: 8am Intermediate Advisory from @NHC_Atlantic upgrades #HurricaneMichael into a category 2 hurricane. Keep in mind, wind…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 9 2018 07:18:39 AM","RT @fema: ⚠️If you're told to evacuate for Hurricane #Michael, don't delay. Leave as soon as possible. Listen to @FLSERT and local offici…","[Twitter for iPhone]",2018,7,"AM","10"
"Oct 7 2018 01:15:22 PM","RT @FLOTUS: Thank you Kenya 🇰🇪 🇺🇸 https://t.co/JrHncob8Qp","[Twitter for iPhone]",2018,1,"AM","10"
"Oct 5 2018 10:46:07 PM","RT @realDonaldTrump: Thank you Minnesota - I love you! https://t.co/eQC2NqdIil","[Twitter for iPhone]",2018,10,"AM","10"
"Oct 5 2018 04:29:54 PM","RT @FLOTUS: Thank you Malawi! 🇺🇸 🇲🇼 https://t.co/rE03LMNzOZ","[Twitter for iPhone]",2018,4,"AM","10"
"Oct 5 2018 04:29:49 PM","RT @FLOTUS: Thank you Ghana! 🇺🇸 🇬🇭 https://t.co/d34cqFyRdN","[Twitter for iPhone]",2018,4,"AM","10"
